state,county,gisjoin,pop_enslaved_1860,pop_total_1860,pop_total_2010,pop_black_2010,pop_white_2010,income_black_2010,income_white_2010,pct_pop_enslaved_1860,had_rosenwald_school
Mississippi,Holmes,G2800510,11975,17791,19198,16018,3001,18677,40762,67.3093136979372,1
Mississippi,Issaquena,G2800550,7244,7831,1406,906,486,15656,37045,92.5041501723918,1
Mississippi,Itawamba,G2800570,3528,17695,23401,1391,21623,19605,38957,19.9378355467646,1
Mississippi,Jackson,G2800590,1087,4122,139668,30034,100735,28323,53912,26.3706938379428,1
Mississippi,Jasper,G2800610,4549,11007,17062,8970,7894,23479,37012,41.3282456618516,1
Mississippi,Jefferson,G2800630,12396,15349,7726,6620,1060,21759,43281,80.7609616261646,1
Mississippi,Jones,G2800670,407,3323,67761,19153,45531,22562,41797,12.2479687029792,1
Mississippi,Kemper,G2800690,5741,11682,10456,6288,3689,20105,38345,49.1439821948297,1
Mississippi,Lafayette,G2800710,7129,16125,47351,11201,33976,26507,45075,44.2108527131783,1
Mississippi,Lauderdale,G2800750,5088,13313,80261,34330,43957,22079,45478,38.2182828813941,1
Mississippi,Lawrence,G2800770,3696,9213,12929,3974,8624,27634,39845,40.1172256593943,1
Mississippi,Leake,G2800790,3056,9324,23805,9654,11793,22575,41232,32.7756327756328,1
Mississippi,Lowndes,G2800870,16730,23625,59779,25993,32259,21789,50249,70.8148148148148,1
Mississippi,Madison,G2800890,18118,23382,95203,36368,54270,34858,78330,77.4869557779489,1
Mississippi,Marion,G2800910,2185,4686,27088,8752,17822,24491,36541,46.6282543747333,1
Mississippi,Marshall,G2800930,17439,28823,37144,17439,18614,26393,43333,60.5037643548555,1
Mississippi,Monroe,G2800950,12729,21283,36989,11420,25035,19323,43807,59.8082977023916,1
Mississippi,Neshoba,G2800990,2212,8343,29676,6207,17974,20704,38187,26.513244636222,1
Mississippi,Newton,G2801010,3379,9661,21720,6567,13734,28447,41652,34.9756753959218,1
Mississippi,Noxubee,G2801030,15496,20667,11545,8262,3133,17311,44615,74.9794358155514,1
Mississippi,Oktibbeha,G2801050,7631,12977,47671,17431,28224,21896,36019,58.8040379132311,1
Mississippi,Panola,G2801070,8557,13794,34707,16875,17161,23438,42188,62.0342177758446,1
Mississippi,Perry,G2801110,738,2606,12250,2451,9575,30429,42126,28.31926323868,1
Mississippi,Pike,G2801130,4935,11135,40404,20813,18745,22259,40888,44.3197126178716,1
Mississippi,Pontotoc,G2801150,7596,22113,29957,4131,23984,24533,41595,34.3508343508344,0
Mississippi,Rankin,G2801210,7103,13635,141617,26634,109523,31217,60816,52.0938760542721,1
Mississippi,Scott,G2801230,2959,8139,28264,10585,15051,26430,43584,36.3558176680182,1
Mississippi,Simpson,G2801270,2324,6080,27503,9666,17260,25705,42917,38.2236842105263,1
Mississippi,Smith,G2801290,2195,7638,16491,3776,12503,23155,41538,28.7378894998691,1
Mississippi,Sunflower,G2801330,3917,5019,29450,21479,7493,20719,38361,78.0434349472006,1
Mississippi,Tallahatchie,G2801350,5054,7890,15378,8679,5988,18877,35938,64.0557667934094,1
Mississippi,Tippah,G2801390,6331,22550,22232,3544,17779,32638,32011,28.0753880266075,0
Mississippi,Tishomingo,G2801410,4981,24149,19593,519,18509,27622,30461,20.626112882521,0
Mississippi,Tunica,G2801430,3483,4366,10778,7918,2553,22245,42660,79.7755382501145,1
Mississippi,Warren,G2801490,13763,20696,48773,22920,24548,22478,57409,66.5007730962505,1
Mississippi,Washington,G2801510,14467,15679,51137,36468,13784,21237,49149,92.2699151731616,1
Mississippi,Wayne,G2801530,1947,3691,20747,8071,12300,22263,36158,52.7499322676781,1
Mississippi,Wilkinson,G2801570,13132,15933,9878,6992,2834,23259,42108,82.4201343124333,1
Mississippi,Winston,G2801590,4223,9811,19198,8753,9972,21454,39627,43.0435225766996,1
Mississippi,Yalobusha,G2801610,9531,16952,12678,4805,7667,20196,37149,56.2234544596508,1
Mississippi,Yazoo,G2801630,16716,22373,28065,16013,11212,17634,46429,74.7150583292361,1
North Carolina,Alamance,G3700010,3445,11852,151131,28369,107420,28235,49372,29.0668241646979,1
North Carolina,Alexander,G3700030,611,6022,37198,2043,33324,31375,42336,10.146130853537,1
North Carolina,Alleghany,G3700050,206,3590,11155,140,10288,42500,30607,5.73816155988858,0
North Carolina,Anson,G3700070,6951,13664,26948,13090,12707,26014,42854,50.8709016393443,1
North Carolina,Beaufort,G3700130,5878,14766,47759,12223,32551,21499,50341,39.8076662603278,1
North Carolina,Bertie,G3700150,8185,14310,21282,13296,7488,24784,44811,57.1977638015374,1
North Carolina,Bladen,G3700170,5327,11995,35190,12268,19806,21097,36209,44.4101709045436,1
North Carolina,Brunswick,G3700190,3631,8406,107431,12291,89193,27963,48361,43.1953366642874,1
North Carolina,Buncombe,G3700210,1933,12654,238318,15211,208192,26651,45767,15.2758021179074,1
North Carolina,Burke,G3700230,2371,9237,90912,6012,76716,34792,37356,25.6685070910469,1
North Carolina,Cabarrus,G3700250,3040,10546,178011,27219,134149,41801,57009,28.8260952019723,1
North Carolina,Caldwell,G3700270,1088,7497,83029,4086,74925,20728,39183,14.5124716553288,0
North Carolina,Camden,G3700290,2127,5343,9980,1316,8193,42074,61563,39.8090960134756,1
North Carolina,Carteret,G3700310,1969,8186,66469,4041,59346,27913,47269,24.0532616662595,1
North Carolina,Caswell,G3700330,9355,16215,23719,8020,14819,26011,42651,57.6934936786926,1
North Carolina,Catawba,G3700350,1664,10729,154358,13041,126151,26849,46618,15.5093671358002,1
North Carolina,Chatham,G3700370,6246,19101,63505,8392,48237,27478,60938,32.6998586461442,1
North Carolina,Cherokee,G3700390,519,9166,27444,350,25700,16411,38265,5.66222998036221,1
North Carolina,Chowan,G3700410,3713,6842,14793,5070,9174,20563,45072,54.2677579655072,1
North Carolina,Cleveland,G3700450,2131,12348,98078,20332,74123,27285,42108,17.2578555231616,1
North Carolina,Columbus,G3700470,2463,8597,58098,17713,35735,20574,43772,28.6495289054321,1
North Carolina,Craven,G3700490,6189,16268,103505,23193,72441,28692,51954,38.0440127858372,1
North Carolina,Cumberland,G3700510,5830,16369,319431,117117,164064,37357,49869,35.6161036104832,1
North Carolina,Currituck,G3700530,2523,7415,23547,1361,21268,31281,57694,34.0256237356709,1
North Carolina,Davidson,G3700570,3076,16601,162878,14421,137359,26187,47156,18.5290042768508,1
North Carolina,Davie,G3700590,2392,8494,41240,2593,36100,30469,52622,28.1610548622557,1
North Carolina,Duplin,G3700610,7124,15784,58505,14773,33449,22925,39001,45.1343132285859,1
North Carolina,Edgecombe,G3700650,10108,17376,56552,32435,21923,26037,43102,58.1721915285451,1
North Carolina,Forsyth,G3700670,1764,12692,350670,91227,218517,33092,54369,13.8985187519697,1
North Carolina,Franklin,G3700690,7076,14107,60619,16212,40003,28424,51866,50.1594952860282,1
North Carolina,Gaston,G3700710,2199,9307,206086,31431,161166,29754,46896,23.6273772429354,1
North Carolina,Gates,G3700730,3901,8443,12197,4044,7768,29136,52388,46.2039559398318,1
North Carolina,Granville,G3700770,11086,23396,59916,19652,36205,34561,55474,47.3841682338861,0
North Carolina,Greene,G3700790,3947,7925,21362,7964,10850,31750,47746,49.8044164037855,1
North Carolina,Guilford,G3700810,3625,20056,488406,158899,278525,32329,55972,18.074391703231,1
North Carolina,Halifax,G3700830,10349,19442,54691,29109,21890,23168,42139,53.2301203579879,1
North Carolina,Harnett,G3700850,2584,8039,114678,23973,78300,28515,48658,32.1433014056475,1
